"","token","lemma"
"10188","disaffiliating","disaffiliate"
"10189","disaggregated","disaggregate"
"10190","disaggregates","disaggregate"
"10191","disaggregating","disaggregate"
"10192","disaggregations","disaggregation"
"10193","disagreed","disagree"
"10194","disagreeing","disagree"
"10195","disagreements","disagreement"
"10196","disagrees","disagree"
"10197","disallowances","disallowance"
"10198","disallowed","disallow"
"10199","disallowing","disallow"
"10200","disallows","disallow"
"10201","disambiguated","disambiguate"
"10202","disambiguates","disambiguate"
"10203","disambiguating","disambiguate"
"10204","disambiguations","disambiguation"
"10205","disappearances","disappearance"
"10206","disappeared","disappear"
"10207","disappearing","disappear"
"10208","disappears","disappear"
"10209","disappointed","disappoint"
"10210","disappointing","disappoint"
"10211","disappointments","disappointment"
"10212","disappoints","disappoint"
"10213","disapproved","disapprove"
"10214","disapproves","disapprove"
"10215","disapproving","disapprove"
"10216","disarmed","disarm"
"10217","disarmers","disarmer"
"10218","disarming","disarm"
"10219","disarms","disarm"
"10220","disarranged","disarrange"
"10221","disarranges","disarrange"
"10222","disarranging","disarrange"
"10223","disarticulated","disarticulate"
"10224","disarticulates","disarticulate"
"10225","disarticulating","disarticulate"
"10226","disassembled","disassemble"
"10227","disassembles","disassemble"
"10228","disassemblies","disassembly"
"10229","disassembling","disassemble"
"10230","disassociated","disassociate"
"10231","disassociates","disassociate"
"10232","disassociating","disassociate"
"10233","disasters","disaster"
"10234","disavowals","disavowal"
"10235","disavowed","disavow"
"10236","disavowing","disavow"
"10237","disavows","disavow"
"10238","disbanded","disband"
"10239","disbanding","disband"
"10240","disbands","disband"
"10241","disbarred","disbar"
"10242","disbarring","disbar"
"10243","disbars","disbar"
"10244","disbelieved","disbelieve"
"10245","disbelievers","disbeliever"
"10246","disbelieves","disbelieve"
"10247","disbelieving","disbelieve"
"10248","disbenefits","disbenefit"
"10249","disbursed","disburse"
"10250","disbursements","disbursement"
"10251","disburses","disburse"
"10252","disbursing","disburse"
"10253","discarded","discard"
"10254","discarding","discard"
"10255","discards","discard"
"10256","discerned","discern"
"10257","discerning","discern"
"10258","discerns","discern"
"10259","discharged","discharge"
"10260","discharges","discharge"
"10261","discharging","discharge"
"10262","disci","discus"
"10263","disciples","disciple"
"10264","disciplinarians","disciplinarian"
"10265","disciplined","discipline"
"10266","disciplines","discipline"
"10267","disciplining","discipline"
"10268","disclaimed","disclaim"
"10269","disclaimers","disclaimer"
"10270","disclaiming","disclaim"
"10271","disclaims","disclaim"
"10272","disclinations","disclination"
"10273","disclosed","disclose"
"10274","discloses","disclose"
"10275","disclosing","disclose"
"10276","disclosures","disclosure"
"10277","discographies","discography"
"10278","discolorations","discoloration"
"10279","discolored","discolor"
"10280","discoloring","discolor"
"10281","discolors","discolor"
"10282","discolourations","discolouration"
"10283","discoloured","discolour"
"10284","discolouring","discolour"
"10285","discolours","discolour"
"10286","discomfited","discomfit"
"10287","discomfiting","discomfit"
"10288","discomfits","discomfit"
"10289","discomforts","discomfort"
"10290","disconcerted","disconcert"
"10291","disconcerting","disconcert"
"10292","disconcerts","disconcert"
"10293","disconnected","disconnect"
"10294","disconnecting","disconnect"
"10295","disconnections","disconnection"
"10296","disconnects","disconnect"
"10297","discontented","discontent"
"10298","discontenting","discontent"
"10299","discontents","discontent"
"10300","discontinuances","discontinuance"
"10301","discontinuations","discontinuation"
"10302","discontinued","discontinue"
"10303","discontinues","discontinue"
"10304","discontinuing","discontinue"
"10305","discontinuities","discontinuity"
"10306","discordances","discordance"
"10307","discords","discord"
"10308","discos","disco"
"10309","discotheques","discotheque"
"10310","discounted","discount"
"10311","discountenanced","discountenance"
"10312","discountenances","discountenance"
"10313","discountenancing","discountenance"
"10314","discounting","discount"
"10315","discounts","discount"
"10316","discouraged","discourage"
"10317","discouragements","discouragement"
"10318","discourages","discourage"
"10319","discouraging","discourage"
"10320","discoursed","discourse"
"10321","discourses","discourse"
"10322","discoursing","discourse"
"10323","discourtesies","discourtesy"
"10324","discovered","discover"
"10325","discoverers","discoverer"
"10326","discoveries","discovery"
"10327","discovering","discover"
"10328","discovers","discover"
"10329","discredited","discredit"
"10330","discrediting","discredit"
"10331","discredits","discredit"
"10332","discrepancies","discrepancy"
"10333","discretisations","discretisation"
"10334","discretizations","discretization"
"10335","discriminants","discriminant"
"10336","discriminated","discriminate"
"10337","discriminates","discriminate"
"10338","discriminating","discriminate"
"10339","discriminations","discrimination"
"10340","discriminators","discriminator"
"10341","discs","disc"
"10342","discuses","discus"
"10343","discussants","discussant"
"10344","discussed","discuss"
"10345","discusses","discuss"
"10346","discussing","discuss"
"10347","discussions","discussion"
"10348","disdained","disdain"
"10349","disdainfully","disdainful"
"10350","disdaining","disdain"
"10351","disdains","disdain"
"10352","diseases","disease"
"10353","disembarkations","disembarkation"
"10354","disembarked","disembark"
"10355","disembarking","disembark"
"10356","disembarks","disembark"
"10357","disemboweled","disembowel"
"10358","disemboweling","disembowel"
"10359","disembowelled","disembowel"
"10360","disembowelling","disembowel"
"10361","disembowels","disembowel"
"10362","disempowered","disempower"
"10363","disempowering","disempower"
"10364","disempowers","disempower"
"10365","disenchanted","disenchant"
"10366","disenchanting","disenchant"
"10367","disenchantments","disenchantment"
"10368","disenchants","disenchant"
"10369","disenfranchised","disenfranchise"
"10370","disenfranchises","disenfranchise"
"10371","disenfranchising","disenfranchise"
"10372","disengaged","disengage"
"10373","disengagements","disengagement"
"10374","disengages","disengage"
"10375","disengaging","disengage"
"10376","disentangled","disentangle"
"10377","disentangles","disentangle"
"10378","disentangling","disentangle"
"10379","disequilibria","disequilibrium"
"10380","disequilibriums","disequilibrium"
"10381","dises","dis"
"10382","disestablished","disestablish"
"10383","disestablishes","disestablish"
"10384","disestablishing","disestablish"
"10385","disfavoured","disfavour"
"10386","disfavouring","disfavour"
"10387","disfavours","disfavour"
"10388","disfigured","disfigure"
"10389","disfigurements","disfigurement"
"10390","disfigures","disfigure"
"10391","disfiguring","disfigure"
"10392","disfranchised","disfranchise"
"10393","disfranchises","disfranchise"
"10394","disfranchising","disfranchise"
"10395","disgorged","disgorge"
"10396","disgorges","disgorge"
"10397","disgorging","disgorge"
"10398","disgraced","disgrace"
"10399","disgraces","disgrace"
"10400","disgracing","disgrace"
"10401","disguised","disguise"
"10402","disguises","disguise"
"10403","disguising","disguise"
"10404","disgusted","disgust"
"10405","disgustedly","disgusted"
"10406","disgusting","disgust"
"10407","disgusts","disgust"
"10408","disharmonies","disharmony"
"10409","dishcloths","dishcloth"
"10410","disheartened","dishearten"
"10411","disheartening","dishearten"
"10412","disheartens","dishearten"
"10413","dished","dish"
"10414","dishes","dish"
"10415","disheveled","dishevel"
"10416","disheveling","dishevel"
"10417","dishevelled","dishevel"
"10418","dishevelling","dishevel"
"10419","dishevels","dishevel"
"10420","dishier","dishy"
"10421","dishing","dish"
"10422","dishonesties","dishonesty"
"10423","dishonored","dishonor"
"10424","dishonoring","dishonor"
"10425","dishonors","dishonor"
"10426","dishonoured","dishonour"
"10427","dishonouring","dishonour"
"10428","dishonours","dishonour"
"10429","dishwashers","dishwasher"
"10430","disillusioned","disillusion"
"10431","disillusioning","disillusion"
"10432","disillusionments","disillusionment"
"10433","disillusions","disillusion"
"10434","disincentives","disincentive"
"10435","disinclined","disincline"
"10436","disinclines","disincline"
"10437","disinclining","disincline"
"10438","disinfectants","disinfectant"
"10439","disinfected","disinfect"
"10440","disinfecting","disinfect"
"10441","disinfections","disinfection"
"10442","disinfects","disinfect"
"10443","disinherited","disinherit"
"10444","disinheriting","disinherit"
"10445","disinherits","disinherit"
"10446","disintegrated","disintegrate"
"10447","disintegrates","disintegrate"
"10448","disintegrating","disintegrate"
"10449","disintegrations","disintegration"
"10450","disinterred","disinter"
"10451","disinterring","disinter"
"10452","disinters","disinter"
"10453","disinvestments","disinvestment"
"10454","disjoined","disjoin"
"10455","disjoining","disjoin"
"10456","disjoins","disjoin"
"10457","disjointed","disjoint"
"10458","disjointing","disjoint"
"10459","disjoints","disjoint"
"10460","disjunctions","disjunction"
"10461","diskettes","diskette"
"10462","disks","disk"
"10463","disliked","dislike"
"10464","dislikes","dislike"
"10465","disliking","dislike"
"10466","dislocated","dislocate"
"10467","dislocates","dislocate"
"10468","dislocating","dislocate"
"10469","dislocations","dislocation"
"10470","dislodged","dislodge"
"10471","dislodges","dislodge"
"10472","dislodging","dislodge"
"10473","disloyalties","disloyalty"
"10474","dismaller","dismal"
"10475","dismallest","dismal"
"10476","dismantled","dismantle"
"10477","dismantles","dismantle"
"10478","dismantling","dismantle"
"10479","dismasted","dismast"
"10480","dismasting","dismast"
"10481","dismasts","dismast"
"10482","dismayed","dismay"
"10483","dismaying","dismay"
"10484","dismays","dismay"
"10485","dismembered","dismember"
"10486","dismembering","dismember"
"10487","dismemberments","dismemberment"
"10488","dismembers","dismember"
"10489","dismissals","dismissal"
"10490","dismissed","dismiss"
"10491","dismisses","dismiss"
"10492","dismissing","dismiss"
"10493","dismounted","dismount"
"10494","dismounting","dismount"
"10495","dismounts","dismount"
"10496","dismutases","dismutase"
"10497","disobeyed","disobey"
"10498","disobeying","disobey"
"10499","disobeys","disobey"
"10500","disopyramides","disopyramide"
"10501","disordered","disorder"
"10502","disordering","disorder"
"10503","disorders","disorder"
"10504","disorganisations","disorganisation"
"10505","disorganised","disorganise"
"10506","disorganises","disorganise"
"10507","disorganising","disorganise"
"10508","disorganizations","disorganization"
"10509","disorganized","disorganize"
"10510","disorganizes","disorganize"
"10511","disorganizing","disorganize"
"10512","disorientated","disorientate"
"10513","disorientates","disorientate"
"10514","disorientating","disorientate"
"10515","disorientations","disorientation"
"10516","disoriented","disorient"
"10517","disorienting","disorient"
"10518","disorients","disorient"
"10519","disowned","disown"
"10520","disowning","disown"
"10521","disowns","disown"
"10522","disparaged","disparage"
"10523","disparagements","disparagement"
"10524","disparages","disparage"
"10525","disparaging","disparage"
"10526","disparities","disparity"
"10527","dispatched","dispatch"
"10528","dispatchers","dispatcher"
"10529","dispatches","dispatch"
"10530","dispatching","dispatch"
"10531","dispelled","dispel"
"10532","dispelling","dispel"
"10533","dispels","dispel"
"10534","dispensaries","dispensary"
"10535","dispensations","dispensation"
"10536","dispensed","dispense"
"10537","dispensers","dispenser"
"10538","dispenses","dispense"
"10539","dispensing","dispense"
"10540","dispersals","dispersal"
"10541","dispersants","dispersant"
"10542","dispersed","disperse"
"10543","disperses","disperse"
"10544","dispersing","disperse"
"10545","dispersions","dispersion"
"10546","dispirited","dispirit"
"10547","dispiriting","dispirit"
"10548","dispirits","dispirit"
"10549","displaced","displace"
"10550","displacements","displacement"
"10551","displaces","displace"
"10552","displacing","displace"
"10553","displayed","display"
"10554","displaying","display"
"10555","displays","display"
"10556","displeased","displease"
"10557","displeases","displease"
"10558","displeasing","displease"
"10559","disported","disport"
"10560","disporting","disport"
"10561","disports","disport"
"10562","disposables","disposable"
"10563","disposals","disposal"
"10564","disposed","dispose"
"10565","disposers","disposer"
"10566","disposes","dispose"
"10567","disposing","dispose"
"10568","dispositions","disposition"
"10569","dispossessed","dispossess"
"10570","dispossesses","dispossess"
"10571","dispossessing","dispossess"
"10572","dispossessions","dispossession"
"10573","disproofs","disproof"
"10574","disproportionalities","disproportionality"
"10575","disproportions","disproportion"
"10576","disproved","disprove"
"10577","disproven","disprove"
"10578","disproves","disprove"
"10579","disproving","disprove"
"10580","disputants","disputant"
"10581","disputations","disputation"
"10582","disputed","dispute"
"10583","disputes","dispute"
"10584","disputing","dispute"
"10585","disqualifications","disqualification"
"10586","disqualified","disqualify"
"10587","disqualifies","disqualify"
"10588","disqualifying","disqualify"
"10589","disquieted","disquiet"
"10590","disquieting","disquiet"
"10591","disquiets","disquiet"
"10592","disquisitions","disquisition"
"10593","disregarded","disregard"
"10594","disregarding","disregard"
"10595","disregards","disregard"
"10596","disrespected","disrespect"
"10597","disrespecting","disrespect"
"10598","disrespects","disrespect"
"10599","disrobed","disrobe"
"10600","disrobes","disrobe"
"10601","disrobing","disrobe"
"10602","disrupted","disrupt"
"10603","disrupters","disrupter"
"10604","disrupting","disrupt"
"10605","disruptions","disruption"
"10606","disruptors","disruptor"
"10607","disrupts","disrupt"
"10608","dissatisfactions","dissatisfaction"
"10609","dissatisfied","dissatisfy"
"10610","dissatisfies","dissatisfy"
"10611","dissatisfying","dissatisfy"
"10612","dissected","dissect"
"10613","dissecting","dissect"
"10614","dissections","dissection"
"10615","dissects","dissect"
"10616","dissed","dis"
"10617","dissembled","dissemble"
"10618","dissembles","dissemble"
"10619","dissembling","dissemble"
"10620","disseminated","disseminate"
"10621","disseminates","disseminate"
"10622","disseminating","disseminate"
"10623","disseminations","dissemination"
"10624","disseminators","disseminator"
"10625","dissensions","dissension"
"10626","dissented","dissent"
"10627","dissenters","dissenter"
"10628","dissenting","dissent"
"10629","dissents","dissent"
"10630","dissertations","dissertation"
"10631","disservices","disservice"
"10632","dissidents","dissident"
"10633","dissimilarities","dissimilarity"
"10634","dissimulated","dissimulate"
"10635","dissimulates","dissimulate"
"10636","dissimulating","dissimulate"
"10637","dissimulations","dissimulation"
"10638","dissing","dis"
"10639","dissipated","dissipate"
"10640","dissipates","dissipate"
"10641","dissipating","dissipate"
"10642","dissipations","dissipation"
"10643","dissociated","dissociate"
"10644","dissociates","dissociate"
"10645","dissociating","dissociate"
"10646","dissociations","dissociation"
"10647","dissolutions","dissolution"
"10648","dissolved","dissolve"
"10649","dissolves","dissolve"
"10650","dissolving","dissolve"
"10651","dissonances","dissonance"
"10652","dissuaded","dissuade"
"10653","dissuades","dissuade"
"10654","dissuading","dissuade"
"10655","distaffs","distaff"
"10656","distanced","distance"
"10657","distances","distance"
"10658","distancing","distance"
"10659","distastes","distaste"
"10660","distended","distend"
"10661","distending","distend"
"10662","distends","distend"
"10663","distensions","distension"
"10664","distichs","distich"
"10665","distillates","distillate"
"10666","distillations","distillation"
"10667","distilled","distill"
"10668","distilleries","distillery"
"10669","distillers","distiller"
"10670","distilling","distill"
"10671","distills","distill"
"10672","distils","distil"
"10673","distinctions","distinction"
"10674","distinguished","distinguish"
"10675","distinguishes","distinguish"
"10676","distinguishing","distinguish"
"10677","distorted","distort"
"10678","distorting","distort"
"10679","distortions","distortion"
"10680","distorts","distort"
"10681","distracted","distract"
"10682","distracters","distracter"
"10683","distracting","distract"
"10684","distractions","distraction"
"10685","distractors","distractor"
"10686","distracts","distract"
"10687","distrained","distrain"
"10688","distraining","distrain"
"10689","distrains","distrain"
"10690","distressed","distress"
"10691","distresses","distress"
"10692","distressing","distress"
"10693","distributed","distribute"
"10694","distributers","distributer"
"10695","distributes","distribute"
"10696","distributing","distribute"
"10697","distributions","distribution"
"10698","distributors","distributor"
"10699","distributorships","distributorship"
"10700","districts","district"
"10701","distrusted","distrust"
"10702","distrusting","distrust"
"10703","distrusts","distrust"
"10704","disturbances","disturbance"
"10705","disturbed","disturb"
"10706","disturbers","disturber"
"10707","disturbing","disturb"
"10708","disturbs","disturb"
"10709","disulfides","disulfide"
"10710","disulphides","disulphide"
"10711","disunited","disunite"
"10712","disunites","disunite"
"10713","disuniting","disunite"
"10714","ditched","ditch"
"10715","ditches","ditch"
"10716","ditching","ditch"
"10717","dithered","dither"
"10718","dithering","dither"
"10719","dithers","dither"
"10720","dits","dit"
"10721","ditties","ditty"
"10722","dittoes","ditto"
"10723","dittos","ditto"
"10724","diureses","diuresis"
"10725","diuretics","diuretic"
"10726","divans","divan"
"10727","divas","diva"
"10728","dive","diva"
"10729","dive-bombed","dive-bomb"
"10730","dive-bombing","dive-bomb"
"10731","dive-bombs","dive-bomb"
"10732","dived","dive"
"10733","diverged","diverge"
"10734","divergences","divergence"
"10735","diverges","diverge"
"10736","diverging","diverge"
"10737","divers","diver"
"10738","diversifications","diversification"
"10739","diversified","diversify"
"10740","diversifies","diversify"
"10741","diversifying","diversify"
"10742","diversions","diversion"
"10743","diversities","diversity"
"10744","diverted","divert"
"10745","diverters","diverter"
"10746","diverticula","diverticulum"
"10747","diverticulitides","diverticulitis"
"10748","diverting","divert"
"10749","divertissements","divertissement"
"10750","diverts","divert"
"10751","dives","dive"
"10752","divested","divest"
"10753","divesting","divest"
"10754","divestitures","divestiture"
"10755","divests","divest"
"10756","divided","divide"
"10757","dividends","dividend"
"10758","dividers","divider"
"10759","divides","divide"
"10760","dividing","divide"
"10761","divinations","divination"
"10762","divined","divine"
"10763","divinely","divine"
"10764","diviner","divine"
"10765","diviners","diviner"
"10766","divines","divine"
"10767","divinest","divine"
"10768","diving","dive"
"10769","divining","divine"
"10770","divinities","divinity"
"10771","divisions","division"
"10772","divisors","divisor"
"10773","divorced","divorce"
"10774","divorcees","divorcee"
"10775","divorces","divorce"
"10776","divorcing","divorce"
"10777","divots","divot"
"10778","divs","div"
"10779","divulged","divulge"
"10780","divulges","divulge"
"10781","divulging","divulge"
"10782","divvied","divvy"
"10783","divvies","divvy"
"10784","divvying","divvy"
"10785","dizzied","dizzy"
"10786","dizzier","dizzy"
"10787","dizzies","dizzy"
"10788","dizziest","dizzy"
"10789","dizzying","dizzy"
"10790","djs","dj"
"10791","dls","dl"
"10792","dmfts","dmft"
"10793","do-gooders","do-gooder"
"10794","do-it-yourselfs","do-it-yourself"
"10795","docked","dock"
"10796","dockers","docker"
"10797","docketed","docket"
"10798","docketing","docket"
"10799","dockets","docket"
"10800","docking","dock"
"10801","docklands","dockland"
"10802","docks","dock"
"10803","dockyards","dockyard"
"10804","docs","doc"
"10805","doctorates","doctorate"
"10806","doctored","doctor"
"10807","doctoring","doctor"
"10808","doctors","doctor"
"10809","doctrines","doctrine"
"10810","documentaries","documentary"
"10811","documentations","documentation"
"10812","documented","document"
"10813","documenting","document"
"10814","documents","document"
"10815","doddered","dodder"
"10816","doddering","dodder"
"10817","dodders","dodder"
"10818","dodecahedra","dodecahedron"
"10819","dodecahedrons","dodecahedron"
"10820","dodged","dodge"
"10821","dodgems","dodgem"
"10822","dodgers","dodger"
"10823","dodges","dodge"
"10824","dodgier","dodgy"
"10825","dodgiest","dodgy"
"10826","dodging","dodge"
"10827","dodoes","dodo"
"10828","dodos","dodo"
"10829","doers","doer"
"10830","does","do"
"10831","doffed","doff"
"10832","doffing","doff"
"10833","doffs","doff"
"10834","dog-collars","dog-collar"
"10835","dog-legs","dog-leg"
"10836","dogcarts","dogcart"
"10837","dogfights","dogfight"
"10838","dogfishes","dogfish"
"10839","dogged","dog"
"10840","doggies","doggy"
"10841","dogging","dog"
"10842","doghouses","doghouse"
"10843","doglegs","dogleg"
"10844","dogmas","dogma"
"10845","dogmata","dogma"
"10846","dogmatists","dogmatist"
"10847","dogmatized","dogmatize"
"10848","dogmatizes","dogmatize"
"10849","dogmatizing","dogmatize"
"10850","dogs","dog"
"10851","dogsbodies","dogsbody"
"10852","dogwoods","dogwood"
"10853","doilies","doily"
"10854","doing","do"
"10855","doings","doing"
"10856","doled","dole"
"10857","dolerites","dolerite"
"10858","doles","dole"
"10859","doling","dole"
"10860","dollars","dollar"
"10861","dolled","doll"
"10862","dollhouses","dollhouse"
"10863","dollies","dolly"
"10864","dolling","doll"
"10865","dollops","dollop"
"10866","dolls","doll"
"10867","dolores","dolor"
"10868","dolphins","dolphin"
"10869","dolts","dolt"
"10870","domains","domain"
"10871","domed","dome"
"10872","domes","dome"
"10873","domesticated","domesticate"
"10874","domesticates","domesticate"
"10875","domesticating","domesticate"
"10876","domestications","domestication"
"10877","domesticities","domesticity"
"10878","domestics","domestic"
"10879","domiciled","domicile"
"10880","domiciles","domicile"
"10881","domiciling","domicile"
"10882","dominated","dominate"
"10883","dominates","dominate"
"10884","dominating","dominate"
"10885","domineered","domineer"
"10886","domineering","domineer"
"10887","domineers","domineer"
"10888","doming","dome"
"10889","dominions","dominion"
"10890","dominoes","domino"
"10891","dominos","domino"
"10892","donated","donate"
"10893","donates","donate"
"10894","donating","donate"
"10895","donations","donation"
"10896","donators","donator"
"10897","done","do"
"10898","donees","donee"
"10899","dongs","dong"
"10900","donkeys","donkey"
"10901","donned","don"
"10902","donning","don"
"10903","donors","donor"
"10904","dons","don"
"10905","dont","do"
"10906","donuts","donut"
"10907","doodahs","doodah"
"10908","doodled","doodle"
"10909","doodles","doodle"
"10910","doodling","doodle"
"10911","doomed","doom"
"10912","dooming","doom"
"10913","dooms","doom"
"10914","doomsayers","doomsayer"
"10915","doomsdays","doomsday"
"10916","door-handles","door-handle"
"10917","door-knobs","door-knob"
"10918","door-steps","door-step"
"10919","doorbells","doorbell"
"10920","doorkeepers","doorkeeper"
"10921","doorknobs","doorknob"
"10922","doormats","doormat"
"10923","doormen","doorman"
"10924","doorposts","doorpost"
"10925","doors","door"
"10926","doorsteps","doorstep"
"10927","doorstops","doorstop"
"10928","doorways","doorway"
"10929","dopaminergics","dopaminergic"
"10930","dopants","dopant"
"10931","doped","dope"
"10932","dopes","dope"
"10933","dopeyer","dopey"
"10934","dopeyest","dopey"
"10935","doping","dope"
"10936","dories","dory"
"10937","dormancies","dormancy"
"10938","dormers","dormer"
"10939","dormice","dormouse"
"10940","dormitories","dormitory"
"10941","dorms","dorm"
"10942","dorsiflexions","dorsiflexion"
"10943","dosages","dosage"
"10944","dose-responses","dose-response"
"10945","dosed","dose"
"10946","doses","dose"
"10947","dosimeters","dosimeter"
"10948","dosimetries","dosimetry"
"10949","dosing","dose"
"10950","doss-houses","doss-house"
"10951","dossed","doss"
"10952","dossers","dosser"
"10953","dosses","doss"
"10954","dossiers","dossier"
"10955","dossing","doss"
"10956","doted","dote"
"10957","dotes","dote"
"10958","doting","dote"
"10959","dots","dot"
"10960","dotted","dot"
"10961","dottier","dotty"
"10962","dottiest","dotty"
"10963","dotting","dot"
"10964","double-checked","double-check"
"10965","double-checking","double-check"
"10966","double-checks","double-check"
"10967","double-crossed","double-cross"
"10968","double-crosses","double-cross"
"10969","double-crossing","double-cross"
"10970","double-deckers","double-decker"
"10971","double-glazed","double-glaze"
"10972","double-glazes","double-glaze"
"10973","double-glazing","double-glaze"
"10974","double-parked","double-park"
"10975","double-parking","double-park"
"10976","double-parks","double-park"
"10977","double-takes","double-take"
"10978","doublecrossed","doublecross"
"10979","doublecrosses","doublecross"
"10980","doublecrossing","doublecross"
"10981","doubled","double"
"10982","doubledeckers","doubledecker"
"10983","doublers","doubler"
"10984","doubles","double"
"10985","doublets","doublet"
"10986","doubling","double"
"10987","doublings","doubling"
"10988","doubted","doubt"
"10989","doubters","doubter"
"10990","doubting","doubt"
"10991","doubts","doubt"
"10992","douches","douche"
"10993","doughier","doughy"
"10994","doughiest","doughy"
"10995","doughnuts","doughnut"
"10996","doughs","dough"
"10997","doughtier","doughty"
"10998","doughtiest","doughty"
"10999","doulas","doula"
"11000","dourer","dour"
"11001","dourest","dour"
"11002","doused","douse"
"11003","douses","douse"
"11004","dousing","douse"
"11005","dove","dive"
"11006","dovecotes","dovecote"
"11007","doves","dove"
"11008","dovetailed","dovetail"
"11009","dovetailing","dovetail"
"11010","dovetails","dovetail"
"11011","dowagers","dowager"
"11012","dowdier","dowdy"
"11013","dowdiest","dowdy"
"11014","dowed","dow"
"11015","dowels","dowel"
"11016","dowing","dow"
"11017","down-and-outs","down-and-out"
"11018","down-regulations","down-regulation"
"11019","down-sides","down-side"
"11020","down-times","down-time"
"11021","downbeats","downbeat"
"11022","downcasts","downcast"
"11023","downed","down"
"11024","downers","downer"
"11025","downfalls","downfall"
"11026","downgraded","downgrade"
"11027","downgrades","downgrade"
"11028","downgrading","downgrade"
"11029","downier","downy"
"11030","downiest","downy"
"11031","downing","down"
"11032","downloaded","download"
"11033","downloading","download"
"11034","downloads","download"
"11035","downplayed","downplay"
"11036","downplaying","downplay"
"11037","downplays","downplay"
"11038","downpours","downpour"
"11039","downs","down"
"11040","downshifts","downshift"
"11041","downsides","downside"
"11042","downsized","downsize"
"11043","downsizes","downsize"
"11044","downsizing","downsize"
"11045","downslopes","downslope"
"11046","downswings","downswing"
"11047","downtimes","downtime"
"11048","downtowns","downtown"
"11049","downturns","downturn"
"11050","dowries","dowry"
"11051","dows","dow"
"11052","dowsed","dowse"
"11053","dowsers","dowser"
"11054","dowses","dowse"
"11055","dowsing","dowse"
"11056","doyennes","doyenne"
"11057","doyens","doyen"
"11058","dozed","doze"
"11059","dozens","dozen"
"11060","dozes","doze"
"11061","dozier","dozy"
"11062","doziest","dozy"
"11063","dozing","doze"
"11064","dpms","dpm"
"11065","drabber","drab"
"11066","drabbest","drab"
"11067","drachmae","drachma"
"11068","drachmai","drachma"
"11069","drachmas","drachma"
"11070","drachms","drachm"
"11071","drafted","draft"
"11072","draftees","draftee"
"11073","drafters","drafter"
"11074","drafting","draft"
"11075","drafts","draft"
"11076","draftsmen","draftsman"
"11077","dragged","drag"
"11078","dragging","drag"
"11079","dragonflies","dragonfly"
"11080","dragons","dragon"
"11081","dragooned","dragoon"
"11082","dragooning","dragoon"
"11083","dragoons","dragoon"
"11084","drags","drag"
"11085","drainages","drainage"
"11086","drained","drain"
"11087","drainers","drainer"
"11088","draining","drain"
"11089","drainpipes","drainpipe"
"11090","drains","drain"
"11091","drakes","drake"
"11092","dramas","drama"
"11093","dramatics","dramatic"
"11094","dramatisations","dramatisation"
"11095","dramatised","dramatise"
"11096","dramatises","dramatise"
"11097","dramatising","dramatise"
"11098","dramatists","dramatist"
"11099","dramatizations","dramatization"
"11100","dramatized","dramatize"
"11101","dramatizes","dramatize"
"11102","dramatizing","dramatize"
"11103","drams","dram"
"11104","drank","drink"
"11105","draped","drape"
"11106","draperies","drapery"
"11107","drapers","draper"
"11108","drapes","drape"
"11109","draping","drape"
"11110","draughtboards","draughtboard"
"11111","draughtier","draughty"
"11112","draughtiest","draughty"
"11113","draughts","draught"
"11114","draughtsmen","draughtsman"
"11115","drawbacks","drawback"
"11116","drawbridges","drawbridge"
"11117","drawdowns","drawdown"
"11118","drawers","drawer"
"11119","drawing","draw"
"11120","drawings","drawing"
"11121","drawled","drawl"
"11122","drawling","drawl"
"11123","drawls","drawl"
"11124","drawn","draw"
"11125","drawn-in","draw-in"
"11126","draws","draw"
"11127","draws-in","draw-in"
"11128","drawstrings","drawstring"
"11129","drays","dray"
"11130","dreaded","dread"
"11131","dreading","dread"
"11132","dreadlocks","dreadlock"
"11133","dreads","dread"
"11134","dreamed","dream"
"11135","dreamers","dreamer"
"11136","dreamier","dreamy"
"11137","dreamiest","dreamy"
"11138","dreaming","dream"
"11139","dreams","dream"
"11140","dreamt","dream"
"11141","drearier","dreary"
"11142","dreariest","dreary"
"11143","dredged","dredge"
"11144","dredgers","dredger"
"11145","dredges","dredge"
"11146","dredging","dredge"
"11147","dregs","dreg"
"11148","drenched","drench"
"11149","drenches","drench"
"11150","drenching","drench"
"11151","dressed","dress"
"11152","dressers","dresser"
"11153","dresses","dress"
"11154","dressier","dressy"
"11155","dressiest","dressy"
"11156","dressing","dress"
"11157","dressing-gowns","dressing-gown"
"11158","dressings","dressing"
"11159","dressmakers","dressmaker"
"11160","drew","draw"
"11161","drew-in","draw-in"
"11162","dribbled","dribble"
"11163","dribbles","dribble"
"11164","dribbling","dribble"
"11165","dried","dry"
"11166","drier","dry"
"11167","driers","drier"
"11168","dries","dry"
"11169","driest","dry"
"11170","drifted","drift"
"11171","drifters","drifter"
"11172","drifting","drift"
"11173","drifts","drift"
"11174","drilled","drill"
"11175","drillers","driller"
"11176","drilling","drill"
"11177","drills","drill"
"11178","drinkers","drinker"
"11179","drinking","drink"
"11180","drinks","drink"
"11181","drip-feeded","drip-feed"
"11182","drip-feeding","drip-feed"
"11183","drip-feeds","drip-feed"
"11184","dripped","drip"
"11185","dripping","drip"
"11186","drips","drip"
"11187","dript","drip"
"11188","drive-ins","drive-in"
"11189","driveled","drivel"
"11190","driveling","drivel"
"11191","drivelled","drivel"
